id,original_title,original_language
862,Toy Story,en
8844,Jumanji,en
15602,Grumpier Old Men,en
31357,Waiting to Exhale,en
11862,Father of the Bride Part II,en
949,Heat,en
11860,Sabrina,en
45325,Tom and Huck,en
9091,Sudden Death,en
710,GoldenEye,en
9087,The American President,en
12110,Dracula: Dead and Loving It,en
21032,Balto,en
10858,Nixon,en
1408,Cutthroat Island,en
524,Casino,en
4584,Sense and Sensibility,en
5,Four Rooms,en
9273,Ace Ventura: When Nature Calls,en
11517,Money Train,en
8012,Get Shorty,en
1710,Copycat,en
9691,Assassins,en
12665,Powder,en
451,Leaving Las Vegas,en
16420,Othello,en
9263,Now and Then,en
17015,Persuasion,en
902,La Cité des Enfants Perdus,fr
37557,摇啊摇，摇到外婆桥,zh
9909,Dangerous Minds,en
63,Twelve Monkeys,en
78802,Guillaumet les ailes du courage,fr
9598,Babe,en
47018,Carrington,en
687,Dead Man Walking,en
139405,Across the Sea of Time,en
33689,It Takes Two,en
9603,Clueless,en
34615,Cry the Beloved Country,en
31174,Richard III,en
11443,Dead Presidents,en
35196,Restoration,en
9312,Mortal Kombat,en
577,To Die For,en
11861,How To Make An American Quilt,en
807,Se7en,en
10530,Pocahontas,en
8391,When Night Is Falling,en
629,The Usual Suspects,en
117164,Guardian Angel,en
11448,Mighty Aphrodite,en
49133,Lamerica,it
26441,The Big Green,en
97406,Georgia,en
124057,Kids of the Round Table,en
9089,Home for the Holidays,en
11010,Il postino,it
99040,Le confessionnal,fr
11359,The Indian in the Cupboard,en
17182,Eye for an Eye,en
2054,Mr. Holland's Opus,en
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en
19760,Two If by Sea,en
9536,Bio-Dome,en
11525,Lawnmower Man 2: Beyond Cyberspace,en
40628,Two Bits,en
4482,Gazon maudit,fr
10634,Friday,en
755,From Dusk Till Dawn,en
11859,Fair Game,en
28387,Kicking and Screaming,en
48750,Les misérables,fr
20927,Bed of Roses,en
36929,Big Bully,en
9102,Screamers,en
124626,Nico Icon,en
27526,The Crossing Guard,en
9623,The Juror,en
400,Things to Do in Denver When You're Dead,en
880,Antonia,nl
146599,Once Upon a Time... When We Were Colored,en
188588,Last Summer in the Hamptons,en
8447,Angels and Insects,en
10534,White Squall,en
17414,Dunston Checks In,en
13997,Black Sheep,en
2086,Nick of Time,en
61548,The Journey of August King,en
9095,Mary Reilly,en
12158,Vampire in Brooklyn,en
9283,Beautiful Girls,en
9208,Broken Arrow,en
40154,A Midwinter's Tale,en
406,La Haine,fr
45549,Shopping,en
63076,Heidi Fleiss: Hollywood Madam,en
11062,City Hall,en
13685,Bottle Rocket,en
47475,Mr. Wrong,en
2045,Unforgettable,en
9614,Happy Gilmore,en
688,The Bridges of Madison County,en
11907,Keiner liebt mich,de
10874,Muppet Treasure Island,en
89333,Catwalk,en
96357,Headless Body in Topless Bar,en
197,Braveheart,en
103,Taxi Driver,en
33542,紅番區,cn
43566,Before and After,en
71754,Margaret's Museum,en
43612,Le Bonheur est dans le pré,en
51352,Anne Frank Remembered,en
16934,The Young Poisoner's Handbook,en
10324,If Lucy Fell,en
78406,Steal Big Steal Little,en
55731,Race the Sun,en
32119,The Boys of St. Vincent,en
11066,Boomerang,en
11104,重慶森林,cn
37975,L'uomo delle stelle,it
2074,Flirting with Disaster,en
27793,The NeverEnding Story III,en
44284,صمت القصور,ar
290157,Jupiter's Wife,en
110972,Pie in the Sky,en
32622,Angela,en
73067,Frankie Starlight,it
11863,Jade,en
55475,Nueba Yol,es
124636,Sonic Outlaws,en
9101,Down Periscope,en
123360,From the Journals of Jean Seberg,en
5757,Man of the Year,en
39428,The Neon Bible,en
124639,Target,en
9302,Up Close & Personal,en
11000,The Birdcage,en
249882,Gospa,en
16388,The Brothers McMullen,en
9737,Bad Boys,en
30765,The Amazing Panda Adventure,en
10474,The Basketball Diaries,en
22279,An Awfully Big Adventure,en
30157,Amateur,en
568,Apollo 13,en
11780,Rob Roy,en
34996,The Addiction,en
414,Batman Forever,en
649,Belle de jour,fr
1873,Beyond Rangoon,en
5894,Blue in the Face,en
1775,Canadian Bacon,en
8839,Casper,en
20649,Clockers,en
10329,Congo,en
8963,Crimson Tide,en
26564,Crumb,en
8068,Desperado,en
8512,Devil in a Blue Dress,en
1572,Die Hard: With a Vengeance,en
13552,The Doom Generation,en
259209,Feast of July,en
6520,First Knight,en
9073,Free Willy 2 - The Adventure Home,en
10428,Hackers,en
17447,Jeffrey,en
9886,Johnny Mnemonic,en
